index,probability_not_bacteriocin,probability_bacteriocin
2919.0,0.0,1.0
2922.0,0.0002,0.0196
2925.0,0.0,0.6254
2926.0,0.0,0.9946
2931.0,0.0,0.0012
2932.0,0.0001,0.1762
2934.0,0.0,0.1882
2935.0,0.0001,0.0673
2941.0,0.0,0.6523
2942.0,0.0021,0.0034
2943.0,0.0,0.8958
2944.0,0.0001,0.3233
2947.0,0.0006,0.0007
2948.0,0.0003,0.2812
2949.0,0.0001,0.0133
2951.0,0.0001,0.0332
2952.0,0.0086,0.0171
2957.0,0.0028,0.0171
2958.0,0.0,0.8527
2960.0,0.0,0.0014
2964.0,0.0001,0.2187
2972.0,0.0,0.9705
2975.0,0.0003,0.0006
2976.0,0.0008,0.0203
2987.0,0.0002,0.4615
2988.0,0.0009,0.9867
2994.0,0.001,0.0249
2999.0,0.0001,0.0013
3001.0,0.0027,0.0112
3003.0,0.0008,0.9937
3005.0,0.0,0.9958
3008.0,0.0003,0.0453
3009.0,0.0,0.9316
3010.0,0.0016,0.0034
3015.0,0.0001,0.4245
3016.0,0.0,0.0162
3019.0,0.0,0.9933
3020.0,0.0001,0.791
3027.0,0.0,0.9852
3028.0,0.0001,0.6111
3032.0,0.0002,0.0337
3034.0,0.0002,0.0044
3035.0,0.003,0.0062
3036.0,0.0004,0.2266
3037.0,0.0002,0.9479
3038.0,0.0025,0.0169
3039.0,0.0001,0.5012
3043.0,0.0007,0.0389
3044.0,0.0,0.9893
3045.0,0.0,0.9956
3046.0,0.0,0.0224
3047.0,0.0,0.7434
3050.0,0.0002,0.0558
3053.0,0.0,0.9329
3055.0,0.0,0.9025
3056.0,0.0004,0.0281
3057.0,0.0002,0.9736
3058.0,0.0006,0.3027
3059.0,0.0003,0.1958
3060.0,0.0,0.9897
3061.0,0.0,0.5948
3066.0,0.0005,0.0015
3067.0,0.0,0.9954
3070.0,0.0004,0.0011
3071.0,0.0,0.5427
3074.0,0.0001,0.4549
3077.0,0.0,0.0293
3081.0,0.0,0.0185
3083.0,0.0,0.9999
3084.0,0.0001,0.0787
3085.0,0.0002,0.0229
3086.0,0.001,0.0859
3087.0,0.0007,0.0009
3091.0,0.0001,0.0163
3095.0,0.0001,0.0087
3097.0,0.0,0.9691
3099.0,0.0049,0.0513
3108.0,0.0,0.3884
3111.0,0.0,0.111
3113.0,0.0,0.7357
3114.0,0.0001,0.1676
3116.0,0.016,0.0638
3118.0,0.0,0.5306
3125.0,0.0009,0.0023
3130.0,0.0,0.1028
3131.0,0.0008,0.1634
3132.0,0.0,0.3857
3133.0,0.0,0.9969
3134.0,0.0,0.6817
3135.0,0.0,0.9885
3136.0,0.0001,0.029
3138.0,0.0002,0.9996
3139.0,0.0,0.9858
3140.0,0.0,0.0683
3141.0,0.001,0.0525
3146.0,0.0,0.3459
3150.0,0.0,0.984
3153.0,0.0045,0.0061
3155.0,0.0018,0.0043
3157.0,0.0,0.6329
3158.0,0.0004,0.4396
3160.0,0.0008,0.7039
3163.0,0.0,0.0088
3165.0,0.0003,0.0178
3166.0,0.002,0.0027
3172.0,0.0001,0.0147
3173.0,0.0,0.5623
3176.0,0.0002,0.0017
3177.0,0.0002,0.7455
3178.0,0.0007,0.9855
3180.0,0.0002,0.4075
3182.0,0.0001,0.2498
3184.0,0.0001,0.1602
3185.0,0.0001,0.4146
3186.0,0.0,0.9997
3191.0,0.0,0.9937
3193.0,0.0,0.9946
3195.0,0.0,0.9403
3198.0,0.0,0.1207
3199.0,0.0058,0.1904
3203.0,0.0001,0.0044
3205.0,0.0,0.1256
3206.0,0.0001,0.1636
3210.0,0.0,0.9714
3212.0,0.0,0.6965
3214.0,0.0001,0.2996
3219.0,0.0003,0.0092
3220.0,0.0025,0.0363
3222.0,0.0001,0.0321
3226.0,0.0002,0.3261
3227.0,0.0001,0.1134
3230.0,0.0001,0.0247
3231.0,0.0037,0.3468
3236.0,0.0001,0.0027
3237.0,0.0,0.6683
3239.0,0.0,0.9996
3240.0,0.0022,0.0031
3242.0,0.0178,0.0205
3243.0,0.0005,0.0262
3246.0,0.0,0.8365
3247.0,0.0,0.2939
3248.0,0.0005,0.5922
3255.0,0.0012,0.0021
3256.0,0.0003,0.3707
3259.0,0.0,0.9378
3260.0,0.0077,0.0164
3263.0,0.0001,0.6767
3264.0,0.0,0.9397
3266.0,0.0,0.8104
3267.0,0.0009,0.002
3269.0,0.0,0.9992
3270.0,0.0001,0.7804
3272.0,0.0026,0.0038
3274.0,0.0,0.3024
3280.0,0.0,0.8386
3282.0,0.0,0.7536
3284.0,0.0001,0.0121
3285.0,0.0005,0.015
3286.0,0.0001,0.3494
3287.0,0.0,0.8496
3290.0,0.0,0.9639
3292.0,0.0004,0.0075
3294.0,0.0,0.9271
3295.0,0.0,0.0113
3296.0,0.0011,0.0018
3297.0,0.0,0.9995
3298.0,0.0001,0.0034
3300.0,0.0,0.3815
3301.0,0.0092,0.0114
3304.0,0.0023,0.3828
3305.0,0.0,0.8433
3306.0,0.0003,0.1266
3307.0,0.0001,0.0072
3309.0,0.0002,0.0007
3310.0,0.0011,0.0028
3311.0,0.0,0.1281
3314.0,0.0004,0.6843
3315.0,0.0,0.975
3319.0,0.0001,0.802
3320.0,0.0,0.7417
3325.0,0.0,0.0177
3326.0,0.0,0.9381
3327.0,0.0003,0.0016
3328.0,0.0,1.0
3329.0,0.0001,0.9666
3331.0,0.0007,0.3757
3332.0,0.0002,0.9022
3333.0,0.0023,0.0036
3337.0,0.0001,0.0602
3339.0,0.0001,0.1914
3341.0,0.0001,0.321
3342.0,0.0003,0.8545
3347.0,0.0006,0.0073
3348.0,0.0,0.0359
3349.0,0.0001,0.0395
3350.0,0.0054,0.2173
3352.0,0.0,0.9599
3353.0,0.0003,0.0008
3354.0,0.0005,0.4882
3355.0,0.0004,0.011
3358.0,0.0002,0.9665
3362.0,0.0002,0.0016
3364.0,0.0016,0.8894
3367.0,0.0001,0.9076
3372.0,0.0001,0.9888
3373.0,0.0001,0.7405
3376.0,0.0004,0.1506
3380.0,0.0,0.9874
3382.0,0.0043,0.0707
3385.0,0.0,0.9999
3387.0,0.0005,0.0051
3388.0,0.0,0.9053
3389.0,0.0001,0.4168
3391.0,0.0004,0.972
3392.0,0.0,0.33
3394.0,0.0011,0.0056
