{'in_kwargs': {'conv_filters1': 25, 'kernel_sizes': [6, 8, 10], 'maps_per_kernel': 1, 'dropout1': 0.4, 'dropout2': 0.5, 'pool_size': 3, 'conv_filters2': 150, 'dense_units': 30, 'lr': 0.0001}, 'epochs': 100, 'batch_size': 1024, 'result': ([0.1269299818398361, 0.9506173], [0.008334159343593835, 0.9993065]), 'p_i': 53}
{'in_kwargs': {'conv_filters1': 25, 'kernel_sizes': [2, 3, 4], 'maps_per_kernel': 2, 'dropout1': 0.1, 'dropout2': 0.2, 'pool_size': 7, 'conv_filters2': 300, 'dense_units': 30, 'lr': 0.0001}, 'epochs': 100, 'batch_size': 1024, 'result': ([0.11786420881965311, 0.95679015], [0.0036363865257093577, 0.9993065]), 'p_i': 54}
{'in_kwargs': {'conv_filters1': 75, 'kernel_sizes': [2, 3, 4], 'maps_per_kernel': 1, 'dropout1': 0.4, 'dropout2': 0.5, 'pool_size': 7, 'conv_filters2': 50, 'dense_units': 60, 'lr': 0.001}, 'epochs': 100, 'batch_size': 1024, 'result': ([0.1406755756448311, 0.9506173], [0.001344877161726132, 0.9993065]), 'p_i': 55}
{'in_kwargs': {'conv_filters1': 75, 'kernel_sizes': [6, 8, 10], 'maps_per_kernel': 2, 'dropout1': 0, 'dropout2': 0, 'pool_size': 3, 'conv_filters2': 300, 'dense_units': 120, 'lr': 0.001}, 'epochs': 100, 'batch_size': 1024, 'result': ([0.16506558141590627, 0.97530866], [0.001463038584237269, 0.99861306]), 'p_i': 56}
{'in_kwargs': {'conv_filters1': 75, 'kernel_sizes': [6, 8, 10], 'maps_per_kernel': 3, 'dropout1': 0, 'dropout2': 0, 'pool_size': 7, 'conv_filters2': 150, 'dense_units': 30, 'lr': 0.001}, 'epochs': 100, 'batch_size': 1024, 'result': ([0.15448298939952135, 0.9691358], [0.0015688426137481107, 0.99861306]), 'p_i': 57}
{'in_kwargs': {'conv_filters1': 50, 'kernel_sizes': [3, 4, 5], 'maps_per_kernel': 3, 'dropout1': 0, 'dropout2': 0, 'pool_size': 3, 'conv_filters2': 150, 'dense_units': 30, 'lr': 0.0001}, 'epochs': 100, 'batch_size': 1024, 'result': ([0.13127065366775859, 0.9506173], [0.002565070450917866, 0.9993065]), 'p_i': 58}
{'in_kwargs': {'conv_filters1': 75, 'kernel_sizes': [2, 3, 4], 'maps_per_kernel': 2, 'dropout1': 0.1, 'dropout2': 0, 'pool_size': 7, 'conv_filters2': 300, 'dense_units': 60, 'lr': 0.01}, 'epochs': 100, 'batch_size': 1024, 'result': ([0.6931471824645996, 0.5], [0.6931471824645996, 0.5]), 'p_i': 59}
{'in_kwargs': {'conv_filters1': 75, 'kernel_sizes': [3, 4, 5], 'maps_per_kernel': 2, 'dropout1': 0.1, 'dropout2': 0.2, 'pool_size': 7, 'conv_filters2': 300, 'dense_units': 30, 'lr': 0.001}, 'epochs': 100, 'batch_size': 1024, 'result': ([0.17328667640686027, 0.9506173], [0.0015585530302093507, 0.9993065]), 'p_i': 60}
{'in_kwargs': {'conv_filters1': 25, 'kernel_sizes': [2, 3, 4], 'maps_per_kernel': 2, 'dropout1': 0, 'dropout2': 0.5, 'pool_size': 7, 'conv_filters2': 50, 'dense_units': 30, 'lr': 0.001}, 'epochs': 100, 'batch_size': 1024, 'result': ([0.3452378629166402, 0.9444444], [0.0009952934375309392, 0.9993065]), 'p_i': 61}
{'in_kwargs': {'conv_filters1': 25, 'kernel_sizes': [6, 8, 10], 'maps_per_kernel': 1, 'dropout1': 0.1, 'dropout2': 0, 'pool_size': 7, 'conv_filters2': 150, 'dense_units': 30, 'lr': 0.01}, 'epochs': 100, 'batch_size': 1024, 'result': ([0.3139100711286803, 0.9691358], [0.018827285298302427, 0.99722606]), 'p_i': 62}
